UserId,TrajScore,TypeScore,AllScore
0,0.5172962,5.122504,2.8199003
1,0.84238255,3.2602048,2.0512936
2,0.25813028,4.275828,2.266979
3,1.4908468,3.54876,2.5198033
4,0.5177529,1.7216948,1.1197238
5,0.2581411,2.818695,1.538418
6,0.51793927,4.201473,2.3597062
7,1.4258041,4.1625285,2.7941663
8,1.2955445,4.251273,2.773409
9,0.25810528,3.9145024,2.0863037
10,0.647382,4.5167665,2.5820742
11,1.4253873,4.359349,2.892368
12,0.12843858,4.215092,2.1717653
13,0.38787603,2.2252,1.306538
14,0.2580873,4.10644,2.1822636
15,0.38763535,2.6640816,1.5258584
16,1.1662583,5.9455857,3.555922
17,1.4888457,4.2768903,2.882868
18,0.7766316,2.0188692,1.3977504
19,0.64765537,3.5596712,2.1036632
20,0.38777912,2.512651,1.4502151
21,0.7773421,4.490037,2.6336894
22,0.5825625,2.0412211,1.3118918
23,0.25809097,1.2527862,0.75543857
24,0.25793168,4.8392634,2.5485976
25,0.38789758,3.3612223,1.8745599
26,0.51758194,7.23795,3.877766
27,0.25835246,2.0172825,1.1378175
28,0.3874472,8.058442,4.2229447
29,1.0356989,2.8709865,1.9533427
30,0.45260024,2.3073006,1.3799504
31,0.38778952,1.7099469,1.0488682
32,0.7772407,1.2689544,1.0230975
33,0.2580553,2.8228877,1.5404714
34,1.0364269,3.3953118,2.2158694
35,1.2954868,4.66625,2.9808686
36,0.5179068,4.564834,2.5413704
37,0.25791684,4.427794,2.3428555
38,0.12829295,4.807711,2.468002
39,1.5537987,6.10143,3.8276143
40,0.5177446,4.5687075,2.543226
41,0.2581497,4.1368594,2.1975045
42,1.8141342,5.8691792,3.8416567
43,0.90717465,3.4491837,2.1781793
44,0.9060022,2.442784,1.6743932
45,0.2580302,3.4031594,1.8305948
46,0.25794137,5.5525794,2.9052603
47,0.2583299,2.0098224,1.1340761
48,0.2582399,4.1828265,2.2205331
49,0.3881477,1.8939677,1.1410577
50,0.3879928,4.6754913,2.531742
51,0.6471983,5.4548903,3.0510442
52,0.12846774,2.3280692,1.2282685
53,0.38768595,2.234508,1.311097
54,1.2963455,4.2826447,2.789495
55,0.4523146,2.1467636,1.2995391
56,0.38786116,3.3629897,1.8754255
57,0.3877355,2.5116606,1.449698
58,0.25815096,0.9870777,0.6226143
59,1.6838286,1.9246655,1.804247
60,0.25814426,4.5600214,2.409083
61,1.1665831,5.2970433,3.2318132
62,0.6476689,3.6937485,2.1707087
63,1.0358117,5.142265,3.0890384
64,1.1654129,3.6474457,2.4064293
65,0.1931511,2.8789458,1.5360484
66,0.45267633,2.600867,1.5267717
67,0.5178773,2.0562906,1.287084
68,1.1019151,6.3847866,3.743351
69,1.1013796,5.7061677,3.4037738
70,1.0366812,4.892957,2.9648192
71,0.5175054,2.5734031,1.5454543
72,1.5545932,4.8205853,3.1875892
73,0.38813153,3.9172127,2.152672
74,0.3877665,2.167283,1.2775248
75,0.6473961,4.245907,2.4466515
76,1.4259036,1.6034595,1.5146816
77,0.64757186,4.7922373,2.7199047
78,1.0365596,2.824233,1.9303963
79,0.64738077,4.5251136,2.5862472
80,6.4249803e-06,2.8554356,1.427721
81,0.25812635,3.9367673,2.097447
82,0.38811314,1.2429696,0.8155414
83,1.5548308,3.3696861,2.4622583
84,0.5178037,5.8923235,3.2050636
85,0.5177149,2.4488015,1.4832582
86,1.6850617,5.811528,3.7482948
87,0.25817034,2.0596447,1.1589075
88,0.3878521,3.5741978,1.981025
89,0.6475128,2.0372047,1.3423588
90,0.5180536,5.1313596,2.8247066
91,1.6845539,3.937855,2.8112044
92,1.4253341,1.3948895,1.4101118
93,0.38781506,5.205016,2.7964156
94,0.38749498,3.9098773,2.1486862
95,0.12832935,4.275028,2.2016788
