UserId,TrajScore,TypeScore,AllScore
0,1.0,0.99814445,0.9990722
1,1.0,0.9967062,0.9983531
2,1.0,0.9983395,0.9991697
3,1.0,0.99628603,0.998143
4,1.0,0.9996968,0.99984837
5,1.0,0.9997021,0.99985105
6,1.0,0.9973886,0.9986943
7,1.0,0.9987459,0.99937296
8,1.0,0.99850243,0.99925125
9,1.0,0.9978381,0.998919
10,1.0,0.9986236,0.9993118
11,1.0,0.99521,0.99760497
12,1.0,0.9992859,0.99964297
13,1.0,0.9993916,0.9996958
14,1.0,0.999615,0.9998075
15,1.0,0.997877,0.9989385
16,1.0,0.9988363,0.99941814
17,1.0,0.9952312,0.9976156
18,1.0,0.9974133,0.99870664
19,1.0,0.9992368,0.9996184
20,1.0,0.9994671,0.99973357
21,1.0,0.99551207,0.997756
22,1.0,0.99880445,0.9994022
23,1.0,0.9995265,0.99976325
24,1.0,0.99725467,0.9986273
25,1.0,0.99962044,0.9998102
26,1.0,0.997423,0.99871147
27,1.0,0.9993378,0.9996689
28,1.0,0.9997555,0.99987775
29,1.0,0.99968386,0.9998419
30,1.0,0.99923015,0.9996151
31,1.0,0.998184,0.999092
32,1.0,0.9997897,0.99989486
33,1.0,0.99814326,0.9990716
34,1.0,0.9935754,0.99678767
35,1.0,0.99877673,0.99938834
36,1.0,0.9982637,0.99913186
37,1.0,0.9965995,0.9982997
38,1.0,0.9996277,0.99981385
39,1.0,0.9983423,0.99917114
40,1.0,0.99837476,0.99918735
41,1.0,0.99946374,0.9997319
42,1.0,0.9993855,0.99969274
43,1.0,0.99649954,0.99824977
44,1.0,0.9980933,0.9990467
45,1.0,0.9994227,0.9997114
46,1.0,0.9985455,0.99927276
47,1.0,0.9986949,0.99934745
48,1.0,0.9981597,0.9990798
49,1.0,0.997897,0.9989485
50,1.0,0.9980232,0.99901164
51,1.0,0.99629664,0.9981483
52,1.0,0.997414,0.998707
53,1.0,0.999414,0.999707
54,1.0,0.99888545,0.9994427
55,1.0,0.9972518,0.9986259
56,1.0,0.9990697,0.99953485
57,1.0,0.9995225,0.9997612
58,1.0,0.99975836,0.9998792
59,1.0,0.999088,0.999544
60,1.0,0.99928427,0.99964213
61,1.0,0.9981105,0.99905527
62,1.0,0.9940182,0.9970091
63,1.0,0.9995918,0.9997959
64,1.0,0.9956916,0.99784577
65,1.0,0.9988113,0.9994056
66,1.0,0.9989,0.99944997
67,1.0,0.9996065,0.99980325
68,1.0,0.9992207,0.99961036
69,1.0,0.9994074,0.9997037
70,1.0,0.99930257,0.9996513
71,1.0,0.9997165,0.99985826
72,1.0,0.9990443,0.99952215
73,1.0,0.9992554,0.9996277
74,1.0,0.9998964,0.9999482
75,1.0,0.99811935,0.9990597
76,1.0,0.9992254,0.9996127
77,1.0,0.9960092,0.99800456
78,1.0,0.9999069,0.99995345
79,1.0,0.99870265,0.9993513
80,1.0,0.99949753,0.99974877
81,1.0,0.9990325,0.99951625
82,1.0,0.9996476,0.9998238
83,1.0,0.995836,0.997918
84,1.0,0.9995543,0.99977714
85,1.0,0.9982935,0.99914676
86,1.0,0.9991156,0.9995578
87,1.0,0.999863,0.9999315
88,1.0,0.9988351,0.99941754
89,1.0,0.99882686,0.99941343
90,1.0,0.99979275,0.9998964
91,1.0,0.9913204,0.9956602
92,1.0,0.99904734,0.99952364
93,1.0,0.99944407,0.999722
94,1.0,0.9990589,0.9995295
95,1.0,0.9997275,0.99986374
96,1.0,0.999555,0.9997775
97,1.0,0.99847555,0.9992378
98,1.0,0.99678105,0.99839056
99,1.0,0.9998018,0.99990094
100,1.0,0.9985206,0.9992603
101,1.0,0.9973099,0.99865496
102,1.0,0.9983025,0.99915123
103,1.0,0.99969935,0.9998497
104,1.0,0.9984604,0.9992302
105,1.0,0.9884286,0.9942143
106,1.0,0.9991729,0.99958646
107,1.0,0.9979926,0.99899626
108,1.0,0.999651,0.9998255
109,1.0,0.9961888,0.99809444
110,1.0,0.996918,0.998459
111,1.0,0.99855185,0.9992759
112,1.0,0.9998418,0.9999209
113,1.0,0.9995119,0.999756
114,1.0,0.99820715,0.99910355
115,1.0,0.9993168,0.9996584
116,1.0,0.99615276,0.9980764
117,1.0,0.9990585,0.99952924
118,1.0,0.996842,0.998421
119,1.0,0.99797916,0.9989896
120,1.0,0.99966216,0.9998311
121,1.0,0.9987962,0.9993981
122,1.0,0.99757105,0.9987855
123,1.0,0.9984039,0.99920195
124,1.0,0.9993823,0.9996911
125,1.0,0.9996431,0.99982154
126,1.0,0.9988706,0.9994353
127,1.0,0.99923897,0.9996195
128,1.0,0.9987477,0.99937385
129,1.0,0.9964746,0.9982373
130,1.0,0.998437,0.99921846
131,1.0,0.9979644,0.9989822
132,1.0,0.999563,0.9997815
133,1.0,0.99880755,0.9994038
134,1.0,0.99960566,0.9998028
135,1.0,0.9988757,0.9994378
136,1.0,0.99829185,0.9991459
137,1.0,0.9982149,0.9991075
138,1.0,0.9973377,0.99866885
139,1.0,0.9991055,0.9995527
140,1.0,0.9974033,0.9987017
141,1.0,0.9990758,0.9995379
142,1.0,0.99893844,0.9994692
143,1.0,0.9977958,0.9988979
144,1.0,0.9961607,0.9980804
145,1.0,0.99956846,0.99978423
146,1.0,0.99864924,0.9993246
147,1.0,0.99936646,0.99968326
148,1.0,0.99187154,0.9959358
149,1.0,0.9983464,0.99917316
